q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,x_mm,y_mm,z_mm
1.654189249324853677e+02,7.392088598498318675e+01,5.319184059878116955e+01,1.008471259047281876e+02,7.057812042868505387e+01,1.394792154521419434e+02,-3.628242232886105256e+01,4.627825959869383610e+02
1.603764821310027173e+02,-2.090150267215733493e-01,-8.405808839912502606e+01,6.268338225336270852e+01,1.614520348596332155e+02,-1.172623122213358329e+02,4.180947401181346379e+01,-1.677294617490067310e+02
-1.688255023684817502e+02,2.215111579668541708e+01,-4.196060410359025639e+01,-9.867308975673324767e+00,1.505155772829922398e+02,-2.181103246841393570e+02,-4.308612899978461286e+01,-1.280166127643212803e+00
-5.961977280208137131e+01,2.291747121440192814e+01,-1.859044649809308680e+01,1.066835648573486139e+02,-4.727658252554343221e+01,2.109501178756153479e+02,-3.598402314225745044e+02,2.236053049951069340e+02
-1.442233529321440244e+02,-1.968626201924543295e+01,-2.219154471683079066e+01,9.743947731007656898e+01,-6.069083264721197679e+01,-2.987283603390679332e+02,-2.152646518863856500e+02,-1.234289218639319330e+02
-7.415840020361638096e+01,-2.215151492322983984e+01,3.412891845691706294e+01,-5.824145470009653991e+00,7.939111954560985396e+00,8.375979198361966382e+01,-2.951826302589522015e+02,-5.466830204013973571e+01
7.567834005447991785e+01,-1.004796044229400849e+02,-7.576763099625287623e+01,6.170075117817316368e+01,1.465831690974933963e+02,-7.359675373123405961e+01,-2.882762029425987294e+02,-6.555702469091698958e+00
1.321297781520650574e+02,3.968376641920880843e+01,9.142536795190301291e+01,9.019792771243805873e+01,6.975095901246018570e+01,4.275341335147069088e+01,-4.726673250003997850e+01,4.160330342623323077e+02
5.044381062539056870e+01,6.974511504904214121e+01,7.139076450635840843e+01,-3.888952991487072097e+01,1.274468886902595841e+02,4.191574518333356281e+01,5.074638700297019511e+01,3.737665763094354361e+02
3.175444895839902415e+01,-1.059616057658826520e+02,-6.317141474906596699e+01,7.385039043467853048e+01,-5.681142103076321348e+01,-2.730521092350238632e+02,-1.689990949480690858e+02,-6.392848550874057878e+01
1.235019456269570810e+02,1.815053971678928235e+01,9.237102257823983109e+01,7.033949384491893397e+01,-1.465040060093451189e+02,-5.260254101687296213e+01,7.946790693814087092e+01,4.245021315325057003e+02
1.216036405922804420e+02,3.076590411143655501e+01,-5.863581729794201181e+01,1.524738406291622539e+01,-1.222733555840941335e+02,-1.254974487352710923e+02,2.039641512460381705e+02,-1.337516373362919353e+01
-4.570341244689504379e+01,4.742642668202324785e+01,-1.268681982559967025e+01,4.750516024226345735e+01,1.437642517993400588e+02,2.512424653006559652e+02,-2.574883983195139763e+02,2.878415615217932668e+02
7.254903201135587665e+01,-8.703631982410533396e+01,-2.074272847261808295e+01,-2.950237808080953528e+01,-7.757281359202323756e+00,-3.794161473933265682e+01,-1.206954838331384110e+02,-1.001702370805951432e+02
1.428652221977443446e+02,-3.536253517316728789e+01,4.406166746689692104e+01,4.425695854318220768e+00,1.215787009732010233e+02,-2.444479712493367174e+02,1.851079012272019213e+02,-9.224966331873082481e+01
-9.514786120855653451e+01,1.831856863787706402e+00,2.246691314831507214e+01,-1.599596108334642963e+01,2.286095424335030657e+01,-2.810660379382650476e+01,-3.119847410521851430e+02,4.104838285016353439e+01
-7.317409080457194648e+01,9.740970864368097182e+01,3.339035694488228501e+01,4.036959182192728690e+01,1.564371087902669046e+02,-2.843732317096052498e+01,9.403525675677435913e+01,5.032895310114020617e+02
-2.135772000467957810e+01,9.614148638741650643e+01,-8.426724925964742852e+01,1.203711706155652053e+02,7.908915117473441114e+01,2.113124735596507549e+02,-8.263262352088042917e+01,3.796418253734889845e+02
2.877835715397219474e+01,-3.256377318190754977e+01,-6.199192250702803619e+01,1.191104061067087514e+02,-9.532019776996037308e+01,1.537648773590004794e+02,8.445733496403401830e+01,-2.496492226353311707e+02
1.368387662202885622e+02,-9.424822953202190945e+01,5.584906990522947012e+01,9.391734205281815662e+01,-9.183152646212194270e+01,-1.559943562226241340e+02,1.462899575640703915e+02,-2.206921108417136566e+02
1.717031434727012424e+02,-2.940279457377542371e+01,-7.080388952854303852e+01,-6.453695075444358054e+00,1.700372305667004298e+02,1.454024750935383281e+01,-2.120378005513329001e+00,-8.358101281195797583e+01
-1.391431576026269852e+02,3.675229161531905220e+01,-7.518986976129622235e+01,5.282126497332723147e+01,-1.244808236437337712e+02,-2.090458986311970762e+02,-1.808058035432854354e+02,-2.187206762051152964e+01
1.597499361949985541e+02,8.222449704743488041e+01,9.192944106893233425e+01,9.588666855332789396e+01,-4.106883963057296683e+01,2.428829041877867212e+02,-8.960454130042592169e+01,2.753456405610319280e+02
-1.231103831589501851e+01,-4.133864517631307933e+01,-5.043296007787446911e+00,-4.694817792677474699e+01,1.656211498917145377e+02,8.900754680752515924e+01,-1.942474734141679349e+01,-1.012356826054531780e+02
-2.957266586304066891e+01,-3.677966808302312529e+01,8.224920105422228289e+01,-2.250061011887861184e+01,-2.826051935542128035e+01,2.458053851403797410e+02,-1.394818252996289800e+02,-4.193440788670869779e+00
4.605422616506064060e+01,4.449464950806336105e+01,-1.814343743042000767e+01,-5.043649370057303827e+01,4.388187786130930590e+01,1.342449416815397285e+02,1.392782593712341850e+02,1.614187190014153543e+02
-1.187511846786717342e+02,2.148986679270095124e+01,2.458533886736266538e+01,4.247359086433772291e+01,-5.328627687950368852e+01,-1.836253876326821626e+02,-3.346884739383098690e+02,2.664012899193936050e+02
-3.732450656530301103e+01,-5.140681641727233142e+01,5.350540011501536242e+01,5.972134183248311956e+01,6.891752521395417830e+01,2.892534589954527178e+02,-2.205476678677118798e+02,-7.571862815518221623e+01
1.696733779952980967e+02,7.668455557092843833e+01,-1.745537412169505842e+01,6.901277982271906808e+01,5.185810213591432216e+01,-2.124509325162113669e+02,3.871086023024791700e+01,4.673404825203004975e+02
1.333092604494640909e+01,-7.715170864673778794e+01,-4.751217682446394974e+00,-5.161859735549884931e+01,1.110449410910099459e+02,-3.774942003979139571e+01,-8.945101782594608864e+00,-1.081360393550180561e+02
8.614643871214110504e+01,-6.910719312006560244e+01,-8.420528159726868012e+01,-7.578523482766630082e+01,1.020913125556223235e+02,1.426936878776442263e+00,2.118407871083178406e+01,-2.501477421506952226e+01
1.589457776660013906e+02,-4.631624840395065945e+01,-8.047873799642090376e+01,5.782157963472573670e+01,8.134808800853932098e+00,9.631087065868771901e+01,-3.707489235129665417e+01,-1.772533397204410335e+02
3.804136823039667092e+01,-2.624786869214091212e+00,5.751894537311582667e+01,3.043202443234659427e+01,1.087966252161323268e+02,2.948349827203342670e+02,2.306933421234197681e+02,2.087274874709126777e+02
5.679338737653228009e+01,3.510035488610404286e+01,4.310638450051828841e+01,2.893583138756136464e+01,-5.048603882194163361e+01,1.560058296444415191e+02,2.383418556531000263e+02,3.800351449480898509e+02
-3.734525745010199671e+01,-1.014008295254224379e+02,-9.467589283025749580e+01,3.654994322216893465e+00,1.087103587503726772e+02,-1.169657351081401941e+02,8.925010743334414087e+01,1.187937225630155922e+02
7.460150866444899975e+01,-2.671276194330610565e+01,-7.532654025210320015e+00,8.689946992292803429e+01,1.035694342237057413e+02,9.798281320023610874e+01,3.557609487169842168e+02,-1.308578232253604483e+02
3.967998654580748052e+01,6.890699345861170855e+01,9.090390955803201223e+01,3.892149871581614207e+01,1.691573935324425406e+02,-9.704998005220238610e+01,-8.051519717008780219e+01,4.268724160128260223e+02
-1.519167395521416779e+02,5.382628978336180126e+01,-8.306735347091520794e+01,-5.056283611291477342e+01,-5.789876778655238354e+01,-8.384577180225855386e+01,-4.473799727832800954e+01,1.347482652877410771e+02
-1.379877160914081173e+02,4.148834219143296309e+01,-3.316121715936826320e+01,-6.239481354120638201e+01,-1.026926677763846101e+02,-1.192354135333634844e+02,-1.074063459198298602e+02,1.532302354880054622e+02
-1.710837755191022040e+02,9.187025216212310852e+01,8.538287229634445907e+01,-4.325962405344142780e+01,7.173848458659205107e+01,5.999668544301960083e+01,9.412636900737886947e+00,3.597040975048176961e+02
-1.632847106217171529e+02,-3.398827911011241554e+01,3.122444470940672545e+01,-4.922809680872040872e+01,-5.790639097854683826e+01,-1.698703198793116940e+02,-5.101295226018611118e+01,-7.214705964160188501e+01
-1.327908988753715107e+02,-7.482877169500093828e+01,-1.007765951036216734e+02,-2.448530936728973018e+01,-2.673395330719156959e+01,4.299363599832122418e+01,4.644369954883772067e+01,6.324098119574703247e+01
-2.786408979633313265e+01,-4.730720050163231605e+01,2.751121918121924637e+00,-9.434066552671013994e+01,-3.392120329107007137e+01,1.128890493943055588e+02,-5.968111647194601233e+01,-1.852861426866181205e+01
4.064343142562066191e+01,5.139959966036303740e+01,9.356725854881059945e+01,-2.019391690688578933e+00,1.584678985419904507e+02,4.135135144497743198e+01,3.549680230789894608e+01,4.178115387411583015e+02
1.498939179840291445e+02,-7.732668614065401869e+01,-3.333867406981639192e+00,-4.998540405888144988e+01,1.055079045325350648e+02,3.499802993074487034e+01,-2.029261211217132654e+01,-1.126283854848076089e+02
8.466050134536726546e+01,9.453205105161251254e+01,-9.031115838442968879e+01,-3.433251338699818689e+00,-4.876855349624523228e+01,1.292868861571026606e+01,1.383301446589566979e+02,1.411695742213519225e+02
5.604411763833184068e+01,3.349154591482502497e+00,1.032706641532421088e+01,-6.832453167059694010e+01,1.588068135822339286e+02,1.096621373103230184e+02,1.628511500176587390e+02,7.279237806300314162e+01
-6.300657648130335531e+01,-2.499768836446945386e+01,-5.696640305082306099e+01,-3.235041827156233296e+01,-4.365187269796501823e+01,2.020542800116933790e+01,-3.966664020707239047e+01,-5.731961636497069890e+01
-8.618235964944655336e+01,-1.257929971333500418e+01,6.211865899611612463e+01,8.813754772359004619e+01,4.043419293829029471e+01,2.260142176418808546e+01,-3.387037569625490505e+02,2.805483355785443678e+02
1.897541479993051894e+01,1.807023115900507548e+01,-2.664964884017877012e+00,-8.416654116547745446e+01,-1.432814482887920917e+02,1.630598820189293292e+02,5.606776826442226280e+01,1.452171389280615585e+02
-7.679812680112604539e+00,-9.078858066631416079e+01,-7.644573176580757945e+01,3.954721615515930466e+01,1.604102200294408931e+02,-2.498694811436697307e+02,3.369403640047504922e+01,-6.833038121478224980e+00
